date,open,high,low,close,volume
2013-11-28,0.9082,0.91486,0.90632,0.90775,102170
2013-11-29,0.90775,0.91405,0.90547,0.91108,119106
2013-12-01,0.91269,0.91296,0.91059,0.91196,5997
2013-12-02,0.91196,0.91674,0.90886,0.91137,135758
2013-12-03,0.91138,0.91451,0.90563,0.91306,146980
2013-12-04,0.91306,0.91367,0.89976,0.90302,184868
2013-12-05,0.90302,0.90763,0.90024,0.90642,166248
2013-12-06,0.90642,0.91166,0.89882,0.90992,165675
2013-12-08,0.91215,0.91259,0.91023,0.91029,7581
2013-12-09,0.91029,0.91285,0.90691,0.90876,126183
2013-12-10,0.90876,0.91658,0.90796,0.91443,128065
2013-12-11,0.91442,0.91515,0.90343,0.90446,131263
2013-12-12,0.90449,0.90803,0.89123,0.89211,180406
2013-12-13,0.89213,0.8964,0.89084,0.89602,119233
2013-12-15,0.89566,0.89619,0.89461,0.89495,3806
2013-12-16,0.89495,0.89688,0.89191,0.89393,112656
2013-12-17,0.89394,0.89574,0.88814,0.89186,124099
2013-12-18,0.89187,0.89428,0.88189,0.8843,174819
2013-12-19,0.8843,0.8874,0.88216,0.88599,136130
2013-12-20,0.88599,0.89319,0.88541,0.89237,113174
2013-12-22,0.89199,0.89244,0.89157,0.89203,3402
2013-12-23,0.89203,0.89571,0.89179,0.89298,81866
2013-12-24,0.89297,0.89323,0.89052,0.89153,48587
2013-12-26,0.88862,0.89018,0.88745,0.88843,44848
2013-12-27,0.88843,0.89278,0.88609,0.88627,102780
2013-12-29,0.8856,0.88653,0.88449,0.88522,5324
2013-12-30,0.88522,0.89287,0.88323,0.89208,102467
2013-12-31,0.89209,0.89511,0.89102,0.89271,64979
2014-01-02,0.89127,0.89423,0.88417,0.89091,123511
2014-01-03,0.89089,0.90036,0.8884,0.89446,150857
2014-01-06,0.8954,0.89815,0.89341,0.89657,140316
2014-01-07,0.89659,0.897,0.88924,0.89258,134851
2014-01-08,0.89259,0.89518,0.88956,0.89,139423
2014-01-09,0.89,0.89118,0.88638,0.88966,127405
2014-01-10,0.88967,0.90041,0.88747,0.89953,145980
2014-01-13,0.89974,0.90853,0.8984,0.90514,131202
2014-01-14,0.90528,0.90569,0.89544,0.89638,117358
2014-01-15,0.89636,0.89695,0.88869,0.89139,111848
2014-01-16,0.89139,0.89147,0.87756,0.88199,132897
2014-01-17,0.88199,0.88266,0.87622,0.87791,93659
2014-01-20,0.87702,0.88197,0.87556,0.88102,73209
2014-01-21,0.88102,0.88364,0.87744,0.8807,103675
2014-01-22,0.8807,0.88875,0.87849,0.88523,108146
2014-01-23,0.88523,0.88523,0.87304,0.87669,150786
2014-01-24,0.87665,0.8774,0.86591,0.86817,157263
2014-01-27,0.86846,0.87587,0.86764,0.87375,132670
2014-01-28,0.87374,0.88196,0.87253,0.87741,122677
2014-01-29,0.87741,0.88247,0.87235,0.87364,171501
2014-01-30,0.8737,0.87994,0.87091,0.87924,135190
2014-01-31,0.87926,0.88223,0.86933,0.87499,143867
2014-02-03,0.87652,0.88324,0.87376,0.8753,133150
2014-02-04,0.8753,0.89407,0.87293,0.89239,165673
2014-02-05,0.89239,0.89375,0.88725,0.89082,127222
2014-02-06,0.89082,0.89794,0.89064,0.89577,118260
2014-02-07,0.89577,0.89972,0.89213,0.8955,115268
2014-02-10,0.89549,0.89578,0.89058,0.89477,70913
2014-02-11,0.89465,0.90466,0.89399,0.90361,112207
2014-02-12,0.90361,0.90661,0.90062,0.90252,97229
2014-02-13,0.90252,0.90303,0.89264,0.89778,112600
2014-02-14,0.89778,0.90426,0.89649,0.90283,101524
2014-02-17,0.90627,0.90682,0.90212,0.90305,77435
2014-02-18,0.9031,0.90796,0.90006,0.90248,113399
2014-02-19,0.90248,0.90433,0.89894,0.89979,115984
2014-02-20,0.89989,0.90209,0.89357,0.9004,135555
2014-02-21,0.9004,0.90139,0.89509,0.89701,108381
2014-02-24,0.89746,0.90482,0.89369,0.90319,106917
2014-02-25,0.90319,0.90433,0.9003,0.90161,89574
2014-02-26,0.90184,0.90247,0.89428,0.89665,106500
2014-02-27,0.8966,0.89705,0.89029,0.8963,127353
2014-02-28,0.8963,0.89886,0.89148,0.89327,117165
2014-03-03,0.88929,0.89454,0.88874,0.89346,107707
2014-03-04,0.89348,0.89678,0.89082,0.89472,104401
2014-03-05,0.89493,0.89959,0.89345,0.8983,102770
2014-03-06,0.8983,0.91121,0.89721,0.9088,122328
2014-03-07,0.9088,0.91323,0.90606,0.90668,99601
2014-03-10,0.90354,0.90624,0.90114,0.90175,87589
2014-03-11,0.90175,0.90494,0.89607,0.89741,91876
2014-03-12,0.89753,0.89921,0.89225,0.89859,108453
2014-03-13,0.8986,0.91023,0.89843,0.9028,135598
2014-03-14,0.90281,0.90485,0.89957,0.90307,110386
2014-03-17,0.90009,0.90973,0.89944,0.90845,90611
2014-03-18,0.90852,0.91349,0.90628,0.91242,100597
2014-03-19,0.91243,0.91375,0.90192,0.904,116125
2014-03-20,0.90405,0.9051,0.89942,0.9037,102058
2014-03-21,0.9037,0.90996,0.90315,0.90797,76314
2014-03-24,0.91014,0.91486,0.90458,0.91309,97142
2014-03-25,0.91309,0.91732,0.91185,0.91635,91636
